customer_id,total_sales,sales_rank
SM-20320,25043.05,1
TC-20980,19052.217999999997,2
RB-19360,15117.339,3
TA-21385,14595.62,4
AB-10105,14473.570999999998,5
KL-16645,14175.229,6
SC-20095,14142.333999999999,7
HL-15040,12873.297999999999,8
SE-20110,12209.438000000002,9
CC-12370,12129.072,10
TS-21370,11891.751,11
GT-14710,11820.119999999997,12
BM-11140,11789.630000000003,13
SV-20365,11470.949999999997,14
CJ-12010,11164.974,15
CL-12565,10880.545999999998,16
ME-17320,10663.727999999997,17
KF-16285,10604.266,18
BS-11365,10501.652999999998,19
EH-13765,10310.880000000001,20
JL-15835,9799.923,21
GT-14635,9351.211999999998,22
HW-14935,9300.253999999997,23
TB-21400,9133.99,24
PF-19120,9062.863999999998,25
CM-12385,8954.02,26
JD-16150,8828.030499999999,27
JE-15715,8697.843,28
LA-16780,8673.221999999998,29
PK-19075,8646.933999999997,30
DR-12940,8350.868,31
NF-18385,8322.826000000001,32
KD-16270,8282.358,33
NC-18535,8241.739,34
HM-14860,8236.7648,35
KD-16495,8181.256,36
SB-20290,8057.890999999999,37
ZC-21910,8025.707000000001,38
JH-15985,7954.998,39
NP-18700,7903.182500000001,40
AH-10690,7888.294000000001,41
AB-10060,7755.619999999999,42
JE-15610,7754.976,43
JW-15220,7721.714,44
LC-16885,7663.125999999999,45
JM-15865,7625.076000000002,46
JD-15895,7610.864,47
PO-18850,7473.828200000001,48
MS-17365,7443.6900000000005,49
RW-19540,7397.401000000001,50
BM-11650,7294.185,51
PP-18955,7252.608000000002,52
NW-18400,7234.013999999999,53
Dp-13240,7198.760999999999,54
FH-14365,6987.195999999999,55
RH-19510,6979.18,56
PS-19045,6843.633999999999,57
BB-11545,6765.727999999999,58
JE-15745,6760.814999999999,59
YS-21880,6720.443999999999,60
AR-10540,6608.448,61
DR-12880,6528.033999999999,62
GK-14620,6497.27,63
JA-15970,6491.026000000001,64
NM-18445,6459.343999999999,65
VD-21670,6442.254000000001,66
SB-20185,6410.995999999999,67
JG-15160,6366.391999999999,68
DM-13015,6345.103,69
CM-12655,6339.5576,70
MJ-17740,6320.746,71
BH-11710,6255.351000000001,72
RL-19615,6234.909999999999,73
WB-21850,6160.102,74
VW-21775,6134.0380000000005,75
SD-20485,6121.114,76
QJ-19255,6108.338,77
AD-10180,6106.879999999999,78
CB-12025,6076.138999999999,79
GM-14695,6049.966000000002,80
SC-20380,5992.535999999999,81
KH-16690,5990.798999999999,82
RM-19675,5979.0960000000005,83
KH-16510,5952.859000000002,84
BF-11170,5907.972,85
CP-12340,5888.275000000001,86
BD-11320,5718.521000000001,87
CS-12505,5690.054999999999,88
AM-10705,5664.022,89
RB-19795,5633.315999999999,90
KM-16375,5620.186,91
AA-10315,5563.56,92
SM-20950,5563.392,93
NP-18325,5529.62,94
AC-10450,5527.8460000000005,95
MH-18115,5503.092999999999,96
DP-13390,5480.723999999999,97
EP-13915,5478.0608,98
YC-21895,5454.35,99
SP-20620,5440.319,100
LW-17215,5420.513999999999,101
CP-12085,5402.253999999999,102
TS-21205,5371.09,103
TT-21460,5364.808000000001,104
MW-18220,5341.9,105
TP-21415,5329.0048,106
TW-21025,5278.825999999999,107
DW-13480,5271.628,108
MW-18235,5253.876,109
HR-14830,5248.786999999999,110
SC-20725,5226.209999999998,111
RP-19390,5153.084,112
LR-16915,5142.891999999999,113
MP-18175,5087.92,114
AA-10645,5086.935000000001,115
IL-15100,5040.736,116
KL-16555,5016.488000000001,117
LB-16795,4985.676,118
DH-13075,4932.871999999999,119
IM-15070,4930.473999999999,120
TT-21070,4915.602,121
KM-16720,4909.472000000001,122
PO-19180,4893.043000000001,123
HK-14890,4877.784,124
AJ-10780,4867.344,125
JK-15730,4867.200000000001,126
AH-10210,4805.344,127
DK-13225,4802.393999999999,128
RA-19915,4793.543000000001,129
SA-20830,4767.3415,130
JK-15640,4760.434000000001,131
BW-11110,4750.357999999999,132
TB-21520,4737.486,133
GB-14575,4716.2880000000005,134
RB-19465,4715.466000000001,135
ES-14080,4657.924,136
DB-13270,4655.897,137
KT-16480,4642.088400000001,138
SC-20050,4624.572000000001,139
EM-14140,4588.436,140
DB-13060,4531.646000000002,141
AR-10825,4523.335999999999,142
AG-10900,4510.7970000000005,143
AJ-10795,4501.391,144
LC-16930,4492.946,145
SC-20770,4492.656999999999,146
TP-21130,4454.056,147
MC-17425,4432.138,148
JK-15205,4427.142000000001,149
KW-16435,4416.52,150
BD-11500,4411.243,151
AI-10855,4375.785999999999,152
SC-20230,4371.9580000000005,153
EB-13840,4358.128,154
GZ-14470,4355.15,155
SR-20740,4345.8859999999995,156
ND-18370,4326.139,157
MA-17560,4299.160999999999,158
SP-20860,4282.94,159
DK-12895,4282.175999999999,160
RD-19480,4272.93,161
TC-21295,4266.812,162
AS-10225,4260.784000000001,163
FH-14275,4256.272,164
CB-12535,4246.4555,165
TH-21550,4234.0960000000005,166
BE-11335,4204.6759999999995,167
JF-15565,4198.332,168
GH-14425,4172.8460000000005,169
RS-19765,4159.769999999999,170
MY-18295,4152.696000000001,171
PM-19135,4115.662,172
SV-20785,4105.305,173
DM-13345,4074.4720000000007,174
FP-14320,4046.7460000000005,175
SP-20920,3990.6890000000003,176
CM-12715,3984.4524,177
MP-17965,3983.6420000000003,178
SC-20305,3979.0649999999996,179
SJ-20125,3949.6559999999995,180
LF-17185,3930.509,181
PW-19240,3922.4149999999995,182
GA-14515,3919.7760000000003,183
KH-16630,3918.966,184
CC-12220,3913.418,185
DB-13555,3908.8028,186
NP-18670,3908.402,187
KC-16540,3908.2619999999997,188
FC-14335,3889.3659999999995,189
BS-11380,3887.834,190
JS-15880,3868.02,191
RA-19885,3832.3139999999994,192
AT-10735,3831.8640000000005,193
OT-18730,3818.6240000000003,194
RO-19780,3815.478,195
MC-17845,3805.714000000001,196
MM-17920,3794.08,197
CA-11965,3789.7228,198
MG-17650,3785.276,199
MD-17350,3766.382,200
JK-15625,3760.028,201
JK-16090,3747.6680000000006,202
FM-14290,3736.1979999999994,203
SC-20260,3729.7929999999997,204
HG-15025,3690.284,205
BP-11185,3675.861,206
LP-17095,3653.3990000000003,207
CS-12400,3651.8585000000007,208
EB-13705,3644.9780000000005,209
JP-15520,3635.5940000000005,210
SZ-20035,3625.3289999999997,211
RH-19495,3621.3759999999997,212
TB-21175,3589.296,213
GM-14440,3582.8199999999997,214
DL-13495,3539.322,215
ES-14020,3510.4579999999996,216
RW-19690,3495.646,217
AG-10675,3489.0395999999996,218
ED-13885,3484.92,219
PW-19030,3454.916,220
SF-20200,3422.785999999999,221
FC-14245,3418.742,222
SH-19975,3406.8394999999996,223
SG-20080,3406.581,224
TS-21655,3368.093999999999,225
SC-20020,3362.9635999999996,226
VP-21760,3360.526,227
DJ-13630,3356.3979999999997,228
DV-13465,3341.5870000000004,229
SF-20965,3336.535,230
DC-12850,3336.1680000000006,231
AP-10915,3323.556,232
DK-13375,3318.4859999999994,233
KH-16330,3312.864,234
RF-19345,3309.1500000000005,235
RR-19525,3302.262,236
BD-11605,3288.471,237
BS-11665,3288.11,238
RW-19630,3279.7459999999996,239
DL-12925,3272.2000000000003,240
DK-12835,3256.4800000000005,241
AS-10090,3255.3099999999995,242
JO-15145,3254.9490000000005,243
AH-10075,3250.336999999999,244
HG-14965,3247.6419999999994,245
LC-16960,3246.626,246
CT-11995,3241.898000000001,247
EB-13750,3236.3139999999994,248
SR-20425,3233.481,249
LW-16990,3230.308,250
RS-19420,3221.29,251
AS-10285,3214.236,252
MP-17470,3206.132,253
CS-12355,3202.1620000000003,254
BT-11680,3196.7520000000004,255
DG-13300,3195.818,256
JL-15505,3173.874,257
GM-14680,3163.628,258
JM-15250,3159.1220000000003,259
CK-12205,3154.855,260
KB-16240,3152.615,261
MS-17770,3144.6779999999994,262
RD-19900,3133.9239999999995,263
TN-21040,3130.221,264
SN-20710,3127.9592000000007,265
SG-20605,3124.832000000001,266
KH-16360,3100.6119999999996,267
PG-18820,3086.907,268
EH-14125,3082.6530000000002,269
GM-14455,3078.6240000000003,270
EB-14110,3071.1259999999997,271
MG-18145,3061.543,272
TG-21310,3058.3720000000003,273
KT-16465,3057.1,274
SS-20410,3056.807,275
SL-20155,3053.012000000001,276
AS-10045,3050.6920000000005,277
CA-12775,3041.5659999999993,278
CS-11950,3036.5469999999996,279
LS-16975,2988.674,280
MH-18025,2984.9480000000003,281
FA-14230,2984.053999999999,282
DB-13120,2973.094,283
NS-18640,2964.8229999999994,284
TM-21010,2955.2259999999997,285
CK-12325,2945.321,286
TH-21115,2942.772,287
LT-17110,2936.2519999999995,288
BC-11125,2933.6759999999995,289
JK-16120,2932.4840000000004,290
SW-20455,2921.544,291
ML-17410,2921.499999999999,292
RD-19585,2912.8940000000002,293
CY-12745,2900.026,294
ND-18460,2893.455,295
MT-17815,2890.139,296
BF-11020,2888.506,297
DS-13180,2881.8128,298
PV-18985,2876.0460000000003,299
IM-15055,2872.63,300
CC-12430,2870.0500000000006,301
CC-12685,2854.1150000000007,302
AW-10930,2852.9680000000003,303
EA-14035,2846.7050000000004,304
LS-16945,2845.27,305
DB-12970,2839.2272000000003,306
JM-16195,2833.9260000000004,307
CV-12295,2830.6279999999997,308
TS-21610,2820.4240000000004,309
GH-14410,2819.4670000000006,310
BG-11035,2798.948,311
TB-21625,2797.668,312
RD-19660,2786.6319999999996,313
JC-15775,2772.0550000000007,314
PF-19165,2770,315
EB-13870,2767.219,316
CS-12250,2754.216,317
MM-18055,2749.881,318
KB-16585,2744.742,319
LL-16840,2741.204,320
MC-17275,2725.982,321
JL-15850,2725.2560000000003,322
ML-17395,2722.843,323
JK-15370,2709.632,324
JE-16165,2697.248,325
BT-11530,2684.492,326
BO-11350,2682.728,327
FO-14305,2678.438,328
NH-18610,2673.2899999999995,329
RB-19435,2663.0860000000002,330
EJ-14155,2656.691,331
DK-13090,2650.557,332
CA-12265,2648.2871999999998,333
LC-17140,2633.5820000000003,334
RA-19285,2617.9060000000004,335
KN-16390,2617.2720000000004,336
SO-20335,2602.575500000001,337
SU-20665,2595.3640000000005,338
HA-14920,2584.1580000000004,339
AG-10270,2582.8979999999997,340
LC-16870,2580.7039999999997,341
SC-20695,2576.408,342
NS-18505,2575.863,343
BT-11305,2567.656,344
EM-13810,2567.01,345
MZ-17515,2564.906,346
BS-11755,2562.3820000000005,347
DE-13255,2550.874,348
CC-12610,2540.631,349
AC-10615,2537.686,350
CM-12160,2533.314,351
HF-14995,2533.164,352
FM-14380,2523.2659999999996,353
JB-16045,2518.115,354
JS-16030,2516.4939999999997,355
DJ-13510,2501.688,356
AH-10465,2495.3916000000004,357
PO-18865,2493.2140000000004,358
NZ-18565,2488.31,359
MN-17935,2477.946,360
BP-11290,2475.1570000000006,361
CC-12145,2471.6500000000005,362
NC-18340,2461.404000000001,363
FM-14215,2456.6380000000004,364
MH-17455,2456.182,365
BS-11590,2454.9280000000003,366
VM-21685,2454.866,367
GZ-14545,2454.6220000000003,368
MA-17995,2453.284,369
BP-11095,2442.044,370
MC-17590,2426.0669999999996,371
TH-21100,2422.824,372
MH-17290,2394.0249999999996,373
DF-13135,2390.534,374
XP-21865,2374.6580000000004,375
CK-12595,2372.7500000000005,376
JF-15415,2371.448,377
CV-12805,2370.3136,378
NR-18550,2367.277,379
JG-15115,2358.676,380
AG-10495,2356.855,381
CL-12700,2353.586,382
MG-17680,2350.188,383
RF-19735,2341.2960000000003,384
EM-13825,2339.598,385
DB-13210,2332.577,386
CM-12235,2305.712,387
MK-17905,2302.3680000000004,388
LH-16900,2295.3320000000003,389
KN-16705,2280.5800000000004,390
JF-15190,2279.5860000000002,391
FH-14350,2271.284,392
CC-12670,2269.7015000000006,393
BE-11410,2261.438,394
KM-16225,2260.9579999999996,395
MC-17605,2258.192,396
JH-16180,2256.3940000000002,397
MY-17380,2254.2849999999994,398
KD-16615,2243.5099999999998,399
TS-21505,2243.274,400
JG-15310,2240.5800000000004,401
LW-16825,2238.0609999999997,402
AR-10405,2236.128,403
GG-14650,2224.000000000001,404
NC-18415,2218.99,405
MC-18100,2218.98,406
DP-13105,2215.002,407
PF-19225,2206.1279999999997,408
MH-17785,2203.7780000000002,409
JL-15235,2203.7,410
JR-16210,2201.6859999999997,411
EN-13780,2199.366,412
TB-21280,2198.45,413
GW-14605,2189.0190000000007,414
BT-11395,2186.6130000000003,415
PS-18760,2181.479,416
SH-20395,2180.718,417
KN-16450,2171.962,418
DB-12910,2171.599,419
RP-19855,2170.716000000001,420
TS-21160,2163.6240000000003,421
HA-14905,2163.3,422
EJ-13720,2162.174,423
NM-18520,2161.9790000000003,424
JD-15790,2152.3520000000003,425
CR-12580,2148.852,426
DN-13690,2139.7900000000004,427
KC-16255,2120.954,428
SH-20635,2096.392,429
LC-17050,2095.064,430
RH-19600,2085.7400000000002,431
TG-21640,2074.661,432
ML-17755,2071.914,433
RB-19705,2067.45,434
TS-21430,2054.14,435
AF-10870,2052.9080000000004,436
CD-11920,2033.968,437
NF-18595,2031.472,438
DJ-13420,2012.5200000000002,439
VB-21745,2005.5959999999998,440
HP-14815,1990.314,441
DB-13615,1989.05,442
PG-18895,1987.1640000000002,443
NB-18655,1972.599,444
SW-20275,1966.65,445
LD-17005,1961.934,446
CB-12415,1949.2,447
TP-21565,1936.6399999999996,448
JO-15280,1934.2720000000002,449
JF-15355,1911.844,450
ME-17725,1908.4532,451
SV-20935,1903.491,452
KD-16345,1888.964,453
GD-14590,1888.0700000000002,454
SG-20470,1884.7980000000002,455
LR-17035,1879.3059999999998,456
SC-20440,1874.998,457
BG-11695,1874.172,458
SP-20650,1872.4360000000001,459
NG-18355,1869.58,460
CD-12790,1860.732,461
SN-20560,1860.418,462
PR-18880,1840.1779999999997,463
AJ-10945,1839.2400000000002,464
PC-18745,1832.064,465
EG-13900,1832.02,466
PJ-19015,1824.2340000000002,467
NC-18625,1821.7420000000002,468
JM-15265,1804.1460000000002,469
JB-15400,1791.605,470
AA-10480,1790.512,471
CC-12100,1770.945,472
DS-13030,1762.2130000000002,473
MF-18250,1758.3,474
AH-10030,1744.6999999999998,475
LH-17155,1739.6889999999999,476
BW-11200,1738.4060000000002,477
VT-21700,1736.596,478
AH-10120,1735.5140000000001,479
MV-18190,1734.5739999999998,480
JM-15535,1733.4430000000002,481
BE-11455,1727.652,482
DB-13405,1711.692,483
JP-16135,1707.7099999999998,484
TZ-21580,1707.2860000000003,485
BP-11155,1697.8609999999999,486
