customer_id,order_id,order_date,sales,order_sequence
AA-10315,CA-2014-128055,"2014-03-31 00:00:00",52.98,1
AA-10315,CA-2014-128055,"2014-03-31 00:00:00",673.568,2
AA-10315,CA-2014-138100,"2014-09-15 00:00:00",14.56,3
AA-10315,CA-2014-138100,"2014-09-15 00:00:00",14.94,4
AA-10315,CA-2015-121391,"2015-10-04 00:00:00",26.96,5
AA-10315,CA-2016-103982,"2016-03-03 00:00:00",431.976,6
AA-10315,CA-2016-103982,"2016-03-03 00:00:00",2.304,7
AA-10315,CA-2016-103982,"2016-03-03 00:00:00",41.72,8
AA-10315,CA-2016-103982,"2016-03-03 00:00:00",3930.072,9
AA-10315,CA-2017-147039,"2017-06-29 00:00:00",11.54,10
AA-10315,CA-2017-147039,"2017-06-29 00:00:00",362.94,11
AA-10375,CA-2014-158064,"2014-04-21 00:00:00",16.52,1
AA-10375,CA-2014-130729,"2014-10-24 00:00:00",34.272,2
AA-10375,CA-2015-140921,"2015-02-03 00:00:00",28.4,3
AA-10375,CA-2015-140921,"2015-02-03 00:00:00",149.97,4
AA-10375,CA-2015-109939,"2015-05-08 00:00:00",5.248,5
AA-10375,CA-2015-114503,"2015-11-13 00:00:00",84.96,6
AA-10375,CA-2016-126613,"2016-07-10 00:00:00",16.768,7
AA-10375,CA-2016-131065,"2016-11-14 00:00:00",8.26,8
AA-10375,CA-2016-131065,"2016-11-14 00:00:00",5.28,9
AA-10375,CA-2016-131065,"2016-11-14 00:00:00",499.98,10
AA-10375,US-2017-169488,"2017-09-07 00:00:00",39.96,11
AA-10375,US-2017-169488,"2017-09-07 00:00:00",16.9,12
AA-10375,CA-2017-100230,"2017-12-11 00:00:00",17.94,13
AA-10375,CA-2017-100230,"2017-12-11 00:00:00",14.952,14
AA-10375,CA-2017-100230,"2017-12-11 00:00:00",116.98,15
AA-10480,CA-2014-155271,"2014-05-04 00:00:00",27.46,1
AA-10480,CA-2016-121671,"2016-07-17 00:00:00",265.17,2
AA-10480,CA-2016-121671,"2016-07-17 00:00:00",7.64,3
AA-10480,CA-2016-121671,"2016-07-17 00:00:00",242.94,4
AA-10480,CA-2016-121671,"2016-07-17 00:00:00",21.93,5
AA-10480,CA-2016-121671,"2016-07-17 00:00:00",51.84,6
AA-10480,CA-2016-114601,"2016-08-26 00:00:00",447.84,7
AA-10480,CA-2016-114601,"2016-08-26 00:00:00",209.97,8
AA-10480,CA-2016-114601,"2016-08-26 00:00:00",479.97,9
AA-10480,CA-2016-114601,"2016-08-26 00:00:00",8.64,10
AA-10480,CA-2016-114601,"2016-08-26 00:00:00",11.56,11
AA-10480,CA-2017-114412,"2017-04-15 00:00:00",15.552,12
