item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM00001,ORD00122,PROD0067,-4,369.21,20
ITEM00002,ORD00483,PROD0027,-1,282.55,12
ITEM00003,ORD00133,PROD0466,-3,363.28,3
ITEM00004,ORD00431,PROD0370,-5,203.39,7
ITEM00005,ORD00325,PROD0109,-3,19.41,29
ITEM00006,ORD00478,PROD0183,-1,500.1,20
ITEM00007,ORD00272,PROD0320,-2,211.8,21
ITEM00008,ORD00013,PROD0001,-2,480.37,10
ITEM00009,ORD00059,PROD0328,-3,416.22,8
ITEM00010,ORD00083,PROD0301,-4,247.81,19
ITEM00011,ORD00189,PROD0318,-5,398.84,5
ITEM00012,ORD00394,PROD0280,-4,526.32,28
ITEM00013,ORD00059,PROD0095,-3,536.93,17
ITEM00014,ORD00399,PROD0485,-5,265.92,9
ITEM00015,ORD00165,PROD0462,-5,181.74,7
ITEM00016,ORD00416,PROD0194,5,406.43,29
ITEM00017,ORD00431,PROD0157,3,102.3,15
ITEM00018,ORD00256,PROD0067,9,195.58,28
ITEM00019,ORD00038,PROD0415,3,147.88,16
ITEM00020,ORD00061,PROD0406,5,474.07,13
ITEM00021,ORD00323,PROD0419,9,468.18,27
ITEM00022,ORD00357,PROD0158,3,566.54,14
ITEM00023,ORD00094,PROD0390,9,181.66,13
ITEM00024,ORD00310,PROD0391,7,287.48,5
ITEM00025,ORD00419,PROD0258,8,301.05,22
ITEM00026,ORD00405,PROD0279,7,319.75,27
ITEM00027,ORD00441,PROD0149,5,356.32,14
ITEM00028,ORD00358,PROD0368,7,133.19,0
ITEM00029,ORD00307,PROD0442,8,448.67,29
ITEM00030,ORD00124,PROD0353,6,560.47,22
ITEM00031,ORD00455,PROD0074,4,299.81,24
ITEM00032,ORD00035,PROD0301,6,295.49,0
ITEM00033,ORD00307,PROD0354,2,468.28,2
ITEM00034,ORD00204,PROD0019,2,19.31,6
ITEM00035,ORD00225,PROD0144,9,560.46,5
ITEM00036,ORD00338,PROD0052,9,429.26,19
ITEM00037,ORD00206,PROD0411,1,152.55,12
ITEM00038,ORD00468,PROD0014,10,248.03,29
ITEM00039,ORD00324,PROD0390,2,558.52,9
ITEM00040,ORD00126,PROD0325,2,238.16,12
ITEM00041,ORD00257,PROD0281,2,101.28,10
ITEM00042,ORD00250,PROD0497,4,134.21,3
ITEM00043,ORD00363,PROD0108,3,373.23,7
ITEM00044,ORD00378,PROD0087,2,347.19,1
ITEM00045,ORD00498,PROD0345,3,579.59,16
ITEM00046,ORD00451,PROD0473,3,598.47,13
ITEM00047,ORD00070,PROD0346,10,225.76,29
ITEM00048,ORD00168,PROD0177,7,522.06,0
ITEM00049,ORD00159,PROD0387,2,401.9,3
ITEM00050,ORD00018,PROD0201,6,312.62,11
ITEM00051,ORD00409,PROD0494,3,533.26,4
ITEM00052,ORD00067,PROD0454,4,559.3,17
ITEM00053,ORD00486,PROD0076,10,174.73,9
ITEM00054,ORD00391,PROD0297,2,48.81,18
ITEM00055,ORD00030,PROD0360,7,550.96,16
ITEM00056,ORD00023,PROD0205,2,111.91,4
ITEM00057,ORD00067,PROD0133,4,445.81,3
ITEM00058,ORD00097,PROD0325,7,512.22,6
ITEM00059,ORD00099,PROD0422,8,405.46,17
ITEM00060,ORD00183,PROD0461,10,342.01,19
ITEM00061,ORD00089,PROD0280,2,370.45,19
ITEM00062,ORD00414,PROD0363,2,191.63,23
ITEM00063,ORD00489,PROD0112,1,236.71,10
ITEM00064,ORD00319,PROD0160,4,74.69,21
ITEM00065,ORD00488,PROD0149,6,572.21,24
ITEM00066,ORD00224,PROD0250,6,526.02,26
ITEM00067,ORD00080,PROD0012,2,118.15,10
ITEM00068,ORD00018,PROD0066,3,57.06,16
ITEM00069,ORD00408,PROD0377,5,339.19,21
ITEM00070,ORD00068,PROD0103,2,126.93,29
ITEM00071,ORD00401,PROD0276,9,174.7,8
ITEM00072,ORD00234,PROD0038,1,559.08,24
ITEM00073,ORD00014,PROD0113,10,124.11,22
ITEM00074,ORD00296,PROD0499,3,274.03,9
ITEM00075,ORD00273,PROD0311,4,478.58,1
ITEM00076,ORD00336,PROD0208,9,83.42,5
ITEM00077,ORD00362,PROD0203,2,565.11,20
ITEM00078,ORD00118,PROD0191,3,532.52,15
ITEM00079,ORD00210,PROD0158,4,522.39,6
ITEM00080,ORD00472,PROD0254,9,353.64,4
ITEM00081,ORD00057,PROD0050,7,287.85,4
ITEM00082,ORD00320,PROD0284,7,363.33,23
ITEM00083,ORD00116,PROD0035,3,518.75,11
ITEM00084,ORD00329,PROD0020,6,202.8,17
ITEM00085,ORD00316,PROD0376,5,419.63,7
ITEM00086,ORD00021,PROD0202,9,538.87,11
ITEM00087,ORD00254,PROD0339,4,401.86,24
ITEM00088,ORD00369,PROD0301,4,207.67,28
