product_id,product_name,category,subcategory,cost_price
PROD0001,Laptops Item 1,Electronics,Laptops,157.31
PROD0002,Educational Item 2,Books,Educational,205.93
PROD0003,Decor Item 3,Home,Decor,396.02
PROD0004,Educational Item 4,Books,Educational,328.81
PROD0005,Laptops Item 5,Electronics,Laptops,264.6
PROD0006,Kitchen Item 6,Home,Kitchen,415.05
PROD0007,Phones Item 7,Electronics,Phones,387.46
PROD0008,Fiction Item 8,Books,Fiction,78.85
PROD0009,Non-Fiction Item 9,Books,Non-Fiction,48.86
PROD0010,Furniture Item 10,Home,Furniture,35.3
PROD0011,Non-Fiction Item 11,Books,Non-Fiction,6.5
PROD0012,Shoes Item 12,Clothing,Shoes,199.76
PROD0013,Phones Item 13,Electronics,Phones,21.34
PROD0014,Audio Item 14,Electronics,Audio,150.55
PROD0015,Kitchen Item 15,Home,Kitchen,362.33
PROD0016,Educational Item 16,Books,Educational,340.78
PROD0017,Fiction Item 17,Books,Fiction,23.73
PROD0018,Phones Item 18,Electronics,Phones,183.83
PROD0019,Kitchen Item 19,Home,Kitchen,417.67
PROD0020,Laptops Item 20,Electronics,Laptops,364.23
PROD0021,Phones Item 21,Electronics,Phones,325.27
PROD0022,Shoes Item 22,Clothing,Shoes,97.72
PROD0023,Shoes Item 23,Clothing,Shoes,448.27
PROD0024,Audio Item 24,Electronics,Audio,164.33
PROD0025,Furniture Item 25,Home,Furniture,210.53
PROD0026,Pants Item 26,Clothing,Pants,65.49
PROD0027,Phones Item 27,Electronics,Phones,375.83
PROD0028,Laptops Item 28,Electronics,Laptops,151.98
PROD0029,Phones Item 29,Electronics,Phones,205.36
PROD0030,Furniture Item 30,Home,Furniture,254.14
PROD0031,Pants Item 31,Clothing,Pants,126.91
PROD0032,Kitchen Item 32,Home,Kitchen,26.33
PROD0033,Kitchen Item 33,Home,Kitchen,59.55
PROD0034,Pants Item 34,Clothing,Pants,122.54
PROD0035,Educational Item 35,Books,Educational,480.39
PROD0036,Educational Item 36,Books,Educational,331.46
PROD0037,Kitchen Item 37,Home,Kitchen,64.85
PROD0038,Shoes Item 38,Clothing,Shoes,434.15
PROD0039,Kitchen Item 39,Home,Kitchen,68.44
PROD0040,Shoes Item 40,Clothing,Shoes,353.3
PROD0041,Phones Item 41,Electronics,Phones,487.84
PROD0042,Non-Fiction Item 42,Books,Non-Fiction,426.3
PROD0043,Furniture Item 43,Home,Furniture,53.59
PROD0044,Pants Item 44,Clothing,Pants,31.63
PROD0045,Phones Item 45,Electronics,Phones,318.23
PROD0046,Phones Item 46,Electronics,Phones,121.53
PROD0047,Furniture Item 47,Home,Furniture,296.32
PROD0048,Laptops Item 48,Electronics,Laptops,7.18
PROD0049,Educational Item 49,Books,Educational,402.01
PROD0050,Furniture Item 50,Home,Furniture,269.87
PROD0051,Shoes Item 51,Clothing,Shoes,434.14
PROD0052,Shirts Item 52,Clothing,Shirts,13.84
PROD0053,Educational Item 53,Books,Educational,141.85
PROD0054,Educational Item 54,Books,Educational,436.64
PROD0055,Non-Fiction Item 55,Books,Non-Fiction,80.28
PROD0056,Pants Item 56,Clothing,Pants,38.34
PROD0057,Laptops Item 57,Electronics,Laptops,165.17
PROD0058,Fiction Item 58,Books,Fiction,64.84
PROD0059,Educational Item 59,Books,Educational,8.97
PROD0060,Kitchen Item 60,Home,Kitchen,364.55
PROD0061,Shirts Item 61,Clothing,Shirts,268.27
PROD0062,Furniture Item 62,Home,Furniture,393.81
PROD0063,Educational Item 63,Books,Educational,333.8
PROD0064,Shoes Item 64,Clothing,Shoes,83.97
PROD0065,Shirts Item 65,Clothing,Shirts,260.41
PROD0066,Furniture Item 66,Home,Furniture,210.68
PROD0067,Educational Item 67,Books,Educational,244.15
PROD0068,Kitchen Item 68,Home,Kitchen,498.26
PROD0069,Laptops Item 69,Electronics,Laptops,24.64
PROD0070,Shirts Item 70,Clothing,Shirts,439.95
PROD0071,Fiction Item 71,Books,Fiction,78.9
PROD0072,Fiction Item 72,Books,Fiction,48.31
PROD0073,Educational Item 73,Books,Educational,425.2
PROD0074,Audio Item 74,Electronics,Audio,17.7
PROD0075,Shoes Item 75,Clothing,Shoes,238.32
PROD0076,Shoes Item 76,Clothing,Shoes,108.03
