order_id,customer_id,order_date,status,region_code
ORD00001,,2024-05-23 11:56:46,CANCELLED,SOUTH
ORD00002,,2024-02-29 15:46:46,CANCELLED,SOUTH
ORD00003,,2023-02-20 02:41:21,RETURNED,NORTH
ORD00004,,2024-07-24 05:41:39,CANCELLED,NORTH
ORD00005,,2023-11-14 23:50:47,PLACED,NORTH
ORD00006,,2024-01-18 14:24:14,DELIVERED,NORTH
ORD00007,,03-09-2023,SHIPPED,WEST
ORD00008,,2024-03-29 23:05:11,SHIPPED,NORTH
ORD00009,,15-09-2024,DELIVERED,EAST
ORD00010,,2024-12-17 14:36:17,SHIPPED,EAST
ORD00011,,2023-05-04 15:14:17,SHIPPED,NORTH
ORD00012,,2024-12-06 20:07:12,PLACED,SOUTH
ORD00013,,2023-08-19 03:39:01,PLACED,SOUTH
ORD00014,,2024-11-16 22:22:55,SHIPPED,WEST
ORD00015,,13-12-2023,PLACED,WEST
ORD00016,,2023-04-12 13:06:40,PLACED,EAST
ORD00017,,2023-07-31 13:33:17,SHIPPED,WEST
ORD00018,,2024-09-06 10:10:20,PLACED,EAST
ORD00019,,2023-08-05 09:13:30,CANCELLED,EAST
ORD00020,,2024-02-05 16:28:58,RETURNED,EAST
ORD00021,,2024-01-24 08:22:04,CANCELLED,SOUTH
ORD00022,,2023-10-30 02:48:55,RETURNED,NORTH
ORD00023,,2024-09-06 12:45:52,PLACED,EAST
ORD00024,,2024-04-19 18:39:40,RETURNED,EAST
ORD00025,,2024-05-16 05:58:46,PLACED,NORTH
ORD00026,CUST0182,2024-02-19 05:42:03,SHIPPED,SOUTH
ORD00027,CUST0309,2023-10-27 16:44:59,PLACED,WEST
ORD00028,CUST0352,2024-09-05 12:03:03,RETURNED,SOUTH
ORD00029,CUST0115,2024-06-09 18:58:38,DELIVERED,NORTH
ORD00030,CUST0275,03-03-2024,PLACED,NORTH
ORD00031,CUST0368,2023-04-14 16:03:54,SHIPPED,NORTH
ORD00032,CUST0109,26-01-2023,RETURNED,SOUTH
ORD00033,CUST0065,05-01-2024,CANCELLED,EAST
ORD00034,CUST0233,2024-12-16 03:27:12,SHIPPED,SOUTH
ORD00035,CUST0373,2023-07-09 14:28:40,CANCELLED,WEST
ORD00036,CUST0261,2023-01-28 04:26:38,RETURNED,WEST
ORD00037,CUST0372,2023-03-06 01:38:53,SHIPPED,EAST
ORD00038,CUST0463,2023-03-13 18:32:36,SHIPPED,NORTH
ORD00039,CUST0016,2023-02-09 05:35:42,PLACED,WEST
ORD00040,CUST0114,2023-12-25 15:31:52,CANCELLED,WEST
ORD00041,CUST0384,2024-04-14 05:38:17,CANCELLED,EAST
ORD00042,CUST0182,2024-01-02 05:09:41,PLACED,WEST
ORD00043,CUST0160,25-12-2023,RETURNED,WEST
ORD00044,CUST0473,2024-10-30 09:20:41,CANCELLED,NORTH
ORD00045,CUST0057,19-04-2024,SHIPPED,NORTH
ORD00046,CUST0212,2023-11-06 11:58:58,DELIVERED,WEST
ORD00047,CUST0432,2023-04-30 12:04:43,SHIPPED,NORTH
ORD00048,CUST0381,2024-05-12 06:23:52,SHIPPED,WEST
ORD00049,CUST0377,2023-11-24 11:32:59,DELIVERED,WEST
ORD00050,CUST0061,2024-06-06 17:53:35,PLACED,NORTH
ORD00051,CUST0266,2023-11-13 02:45:57,RETURNED,EAST
ORD00052,CUST0190,2024-08-12 07:06:19,PLACED,NORTH
ORD00053,CUST0147,2024-10-04 10:53:09,CANCELLED,NORTH
ORD00054,CUST0044,2023-07-18 10:09:30,CANCELLED,WEST
ORD00055,CUST0326,2024-10-21 09:46:36,DELIVERED,NORTH
ORD00056,CUST0124,2024-04-01 14:39:17,SHIPPED,NORTH
ORD00057,CUST0451,2023-03-15 22:36:02,RETURNED,WEST
ORD00058,CUST0208,2024-07-22 08:17:09,RETURNED,NORTH
ORD00059,CUST0379,2024-09-20 14:55:40,RETURNED,SOUTH
ORD00060,CUST0005,2023-10-02 01:47:46,SHIPPED,NORTH
ORD00061,CUST0212,06-05-2023,RETURNED,EAST
ORD00062,CUST0482,19-11-2023,PLACED,NORTH
ORD00063,CUST0361,2024-02-15 00:06:31,SHIPPED,WEST
ORD00064,CUST0458,2024-12-24 03:44:32,PLACED,NORTH
ORD00065,CUST0215,2024-09-14 05:39:41,DELIVERED,WEST
ORD00066,CUST0439,01-01-2024,RETURNED,EAST
ORD00067,CUST0107,2024-02-08 20:50:12,SHIPPED,WEST
ORD00068,CUST0051,22-06-2023,DELIVERED,NORTH
ORD00069,CUST0174,2023-06-29 17:17:09,CANCELLED,EAST
ORD00070,CUST0426,2023-06-22 10:11:55,SHIPPED,NORTH
ORD00071,CUST0248,2024-12-01 23:20:39,CANCELLED,EAST
ORD00072,CUST0474,2023-09-02 04:25:08,SHIPPED,WEST
ORD00073,CUST0499,2023-05-06 04:41:16,DELIVERED,EAST
ORD00074,CUST0439,2023-10-05 09:16:16,CANCELLED,WEST
ORD00075,CUST0059,2023-10-05 12:57:04,SHIPPED,EAST
ORD00076,CUST0383,2023-09-22 07:53:53,CANCELLED,NORTH
ORD00077,CUST0264,2023-02-05 13:08:36,PLACED,WEST
ORD00078,CUST0424,10-08-2023,PLACED,EAST
ORD00079,CUST0314,2024-11-10 12:55:04,SHIPPED,NORTH
ORD00080,CUST0483,2024-05-13 16:02:53,PLACED,EAST
ORD00081,CUST0284,2024-09-16 17:46:01,PLACED,WEST
ORD00082,CUST0372,2024-09-25 19:09:57,CANCELLED,EAST
ORD00083,CUST0198,2023-02-10 17:50:42,CANCELLED,EAST
ORD00084,CUST0139,2024-07-14 16:47:16,CANCELLED,EAST
ORD00085,CUST0072,2023-02-13 12:36:43,PLACED,NORTH
ORD00086,CUST0279,2024-08-18 14:55:52,PLACED,NORTH
ORD00087,CUST0112,2023-08-03 13:20:40,DELIVERED,SOUTH
ORD00088,CUST0403,2024-04-06 08:12:10,CANCELLED,SOUTH
ORD00089,CUST0206,2024-05-24 23:53:25,CANCELLED,SOUTH
ORD00090,CUST0406,2023-12-02 13:50:12,RETURNED,SOUTH
ORD00091,CUST0145,2023-07-17 23:31:53,CANCELLED,NORTH
ORD00092,CUST0233,2023-08-30 09:47:33,SHIPPED,WEST
ORD00093,CUST0401,2023-05-11 16:10:57,RETURNED,SOUTH
ORD00094,CUST0294,2024-09-05 12:47:01,RETURNED,NORTH
ORD00095,CUST0427,25-08-2024,SHIPPED,SOUTH
ORD00096,CUST0011,2024-04-27 00:44:18,DELIVERED,EAST
ORD00097,CUST0177,2023-08-22 03:37:13,DELIVERED,SOUTH
ORD00098,CUST0140,2024-06-22 08:38:30,PLACED,EAST
ORD00099,CUST0446,2023-07-03 20:52:27,PLACED,EAST
ORD00100,CUST0101,29-04-2024,SHIPPED,EAST
ORD00101,CUST0423,2023-08-06 05:48:39,DELIVERED,WEST
ORD00102,CUST0454,07-05-2024,DELIVERED,NORTH
ORD00103,CUST0179,2024-04-11 18:02:28,PLACED,SOUTH
ORD00104,CUST0264,2024-11-21 17:59:00,RETURNED,EAST
ORD00105,CUST0163,2023-01-25 21:57:20,CANCELLED,WEST
ORD00106,CUST0064,2023-02-21 20:00:18,DELIVERED,EAST
ORD00107,CUST0196,2023-03-30 09:13:05,DELIVERED,WEST
ORD00108,CUST0297,2023-02-15 16:08:33,CANCELLED,EAST
ORD00109,CUST0119,2024-06-15 13:55:33,CANCELLED,SOUTH
ORD00110,CUST0169,2023-04-06 18:50:33,PLACED,NORTH
ORD00111,CUST0368,2024-06-02 15:29:09,DELIVERED,NORTH
ORD00112,CUST0061,2023-05-11 00:38:54,CANCELLED,SOUTH
ORD00113,CUST0032,2024-07-18 22:57:18,DELIVERED,NORTH
ORD00114,CUST0032,2024-01-24 20:05:44,SHIPPED,NORTH
ORD00115,CUST0380,2023-11-28 17:16:51,RETURNED,NORTH
ORD00116,CUST0096,2024-09-13 20:32:09,RETURNED,NORTH
ORD00117,CUST0403,2024-01-07 22:25:51,DELIVERED,SOUTH
ORD00118,CUST0148,2023-01-24 12:18:36,DELIVERED,EAST
ORD00119,CUST0439,2023-10-14 14:09:36,RETURNED,SOUTH
ORD00120,CUST0185,2023-04-19 09:49:56,PLACED,NORTH
